20140901,336010805,371685679
20140902,308287847,345295625
20140903,303413170,327679930
20140904,299765436,319437758
20140905,230501708,299418256
20140906,174393969,213044930
20140907,171822726,231423580
20140908,155186171,264643424
20140909,308287847,345295625
20140910,303413170,327679930
20140911,299765436,319437758
20140912,230501708,299418256
20140913,174393969,213044930
20140914,171822726,231423580
20140915,320101755,371685679
20140916,308287847,345295625
20140917,303413170,327679930
20140918,299765436,319437758
20140919,230501708,299418256
20140920,174393969,213044930
20140921,171822726,231423580
20140922,320101755,371685679
20140923,308287847,345295625
20140924,303413170,327679930
20140925,299765436,319437758
20140926,230501708,299418256
20140927,174393969,213044930
20140928,252998044,403840847
20140929,320101755,371685679
20140930,308287847,345295625
