20130701,122
20130702,149
20130703,151
20130704,144
20130705,148
20130706,142
20130707,134
20130708,173
20130709,199
20130710,194
20130711,177
20130712,167
20130713,151
20130714,165
20130715,221
20130716,217
20130717,198
20130718,223
20130719,218
20130720,176
20130721,219
20130722,260
20130723,254
20130724,240
20130725,263
20130726,245
20130727,241
20130728,236
20130729,266
20130730,269
20130731,283
20130801,333
20130802,296
20130803,253
20130804,222
20130805,323
20130806,296
20130807,331
20130808,307
20130809,299
20130810,275
20130811,293
20130812,400
20130813,341
20130814,313
20130815,335
20130816,319
20130817,276
20130818,294
20130819,328
20130820,332
20130821,333
20130822,348
20130823,353
20130824,338
20130825,320
20130826,388
20130827,377
20130828,359
20130829,392
20130830,383
20130831,333
20130901,380
20130902,424
20130903,412
20130904,404
20130905,404
20130906,385
20130907,332
20130908,362
20130909,488
20130910,408
20130911,422
20130912,428
20130913,381
20130914,352
20130915,386
20130916,436
20130917,436
20130918,428
20130919,334
20130920,380
20130921,384
20130922,466
20130923,485
20130924,454
20130925,520
20130926,497
20130927,470
20130928,474
20130929,452
20130930,495
20131001,366
20131002,342
20131003,318
20131004,301
20131005,316
20131006,356
20131007,387
20131008,533
20131009,487
20131010,490
20131011,474
20131012,418
20131013,449
20131014,529
20131015,613
20131016,530
20131017,554
20131018,585
20131019,484
20131020,540
20131021,592
20131022,621
20131023,601
20131024,670
20131025,607
20131026,544
20131027,552
20131028,714
20131029,653
20131030,655
20131031,714
20131101,700
20131102,623
20131103,675
20131104,784
20131105,1169
20131106,1246
20131107,1354
20131108,1339
20131109,1183
20131110,1618
20131111,4234
20131112,1277
20131113,1108
20131114,1048
20131115,950
20131116,878
20131117,925
20131118,1142
20131119,1078
20131120,1148
20131121,1075
20131122,1032
20131123,987
20131124,988
20131125,1195
20131126,1188
20131127,1185
20131128,1167
20131129,1128
20131130,1072
20131201,1247
20131202,1345
20131203,1287
20131204,1310
20131205,1258
20131206,1246
20131207,1025
20131208,1065
20131209,1315
20131210,1293
20131211,1248
20131212,2556
20131213,1329
20131214,1144
20131215,1183
20131216,1392
20131217,1378
20131218,1360
20131219,1402
20131220,1473
20131221,1297
20131222,1254
20131223,1614
20131224,1589
20131225,1568
20131226,1563
20131227,1492
20131228,1339
20131229,1363
20131230,1635
20131231,1665
20140101,1514
20140102,1683
20140103,1548
20140104,1349
20140105,1408
20140106,1659
20140107,1644
20140108,1889
20140109,1667
20140110,1686
20140111,1500
20140112,1615
20140113,1844
20140114,1866
20140115,1714
20140116,1836
20140117,1797
20140118,1727
20140119,1712
20140120,1988
20140121,1888
20140122,1761
20140123,1756
20140124,1685
20140125,1468
20140126,1568
20140127,1636
20140128,1484
20140129,1411
20140130,1098
