20140901,318094351,375418746
20140902,303264827,315800759
20140903,275018430,309405899
20140904,267229652,294797682
20140905,227790300,243483281
20140906,156675566,183442385
20140907,161421059,190171917
20140908,153819108,228263520
20140909,295682851,316208425
20140910,267436454,309813565
20140911,259647676,295205348
20140912,220208324,243890947
20140913,149093591,183850050
20140914,153839083,190579583
20140915,302930399,376234078
20140916,288100875,316616091
20140917,259854478,310221231
20140918,252065700,295613014
20140919,212626348,244298613
20140920,141511615,184257716
20140921,146257107,190987249
20140922,295348423,376641744
20140923,280518899,317023757
20140924,252272502,310628897
20140925,244483724,296020680
20140926,205044373,244706279
20140927,133929639,184665382
20140928,203379412,285873190
20140929,287766448,377049410
20140930,272936924,317431423
