20140901,279259980,351714332
20140902,279011942,301643725
20140903,253511030,304632239
20140904,240460710,292699486
20140905,224292894,261965948
20140906,160111923,169598560
20140907,155762797,209917438
20140908,279195676,351714332
20140909,278952355,301643725
20140910,253455814,304632239
20140911,240409544,292699486
20140912,224245481,261965948
20140913,160067988,169598560
20140914,155722085,209917438
20140915,279157950,351714332
20140916,278917396,301643725
20140917,253423419,304632239
20140918,240379525,292699486
20140919,224217664,261965948
20140920,160042212,169598560
20140921,155698199,209917438
20140922,279135816,351714332
20140923,278896886,301643725
20140924,253404414,304632239
20140925,240361914,292699486
20140926,224201345,261965948
20140927,160027089,169598560
20140928,155684186,209917438
20140929,279122831,351714332
20140930,278884853,301643725
